-- RU-RU vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
жужжание = жужжание
жук = жук
журнал = журнал

забор = забор
забота = забота
зависимость = зависимость
завтра = завтра
завтрак = завтрак
загрязнение = загрязнение
задача = задача
задержка = задержка
закон = закон
законченность = законченность
замена = замена
замещение = замещение
замок = замок
запас = запас
запах = запах
записка = записка
запрет = запрет
запрос = запрос
запутанность = запутанность
заражение = заражение
зарождение = зарождение
зарплата = зарплата
застёжка = застёжка
затея = затея
затор = затор
защита = защита
звезда = звезда
звук = звук
звёздочка = звёздочка
здание = здание
здоровье = здоровье
зебра = зебра
землевладелец = землевладелец
землетрясение = землетрясение
земля = земля
зеркало = зеркало
зефир = зефир
зима = зима
злодей = злодей
знак = знак
знакомство = знакомство
знание = знание
значение = значение
значимость = значимость
зодиак = зодиак
зола = зола
золушка = золушка
зона = зона
зонтик = зонтик
зоология = зоология
зоопарк = зоопарк
зрение = зрение
зуб = зуб
зубец = зубец

игла = игла
игра = игра
игрушка = игрушка
идеалист = идеалист
идея = идея
иерархия = иерархия
иероглиф = иероглиф
извещение = извещение
извинение = извинение
извлечение = извлечение
изготовление = изготовление
излучение = излучение
изменение = изменение
измерение = измерение
изобретение = изобретение
изоляция = изоляция
изречение = изречение
изучение = изучение
иллюзия = иллюзия
иллюстрация = иллюстрация
импульс = импульс
имя = имя
инвентарь = инвентарь
инвестиция = инвестиция
индивидуализм = индивидуализм
индивидуум = индивидуум
индикатор = индикатор
индукция = индукция
инерция = инерция
инженер = инженер
инжир = инжир
инициатор = инициатор
инкогнито = инкогнито
инкубатор = инкубатор
иносказание = иносказание
инсинуация = инсинуация
инспектор = инспектор
инструкция = инструкция
инструмент = инструмент
интеллект = интеллект
интендант = интендант
интервью = интервью
интерес = интерес
интуиция = интуиция
информация = информация
ион = ион
ипподром = ипподром
искусство = искусство
исправление = исправление
испытание = испытание
исследование = исследование
исследователь = исследователь
история = история
исчезновение = исчезновение
итог = итог
ищейка = ищейка

кабриолет = кабриолет
каламбур = каламбур
калейдоскоп = калейдоскоп
календарь = календарь
камень = камень
кампания = кампания
камуфляж = камуфляж
канун = канун
капля = капля
карандаш = карандаш
карикатура = карикатура
карман = карман
карнавал = карнавал
карта = карта
картина = картина
карточка = карточка
категория = категория
качество = качество
квадрат = квадрат
квалификация = квалификация
кварц = кварц
квота = квота
кенгуру = кенгуру
кепка = кепка
кетчуп = кетчуп
кивок = кивок
кий = кий
кинотеатр = кинотеатр
кислород = кислород
кит = кит
клавиатура = клавиатура
кладовщик = кладовщик
класс = класс
клочок = клочок
клуб = клуб
ключ = ключ
книга = книга
коврик = коврик
