-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
запрет = prohibition
запрос = inquiry, query
запутанность = entanglement
заражение = infection
зарождение = inception
зарплата = wage
застёжка = zipper
затея = undertaking
затор = jam
защита = protection
звезда = star
звук = sound
звёздочка = asterisk
здание = building
здоровье = health
зебра = zebra
землевладелец = landowner
землетрясение = earthquake
земля = earth, land
зеркало = mirror
зефир = zephyr
зима = winter
злодей = villain
знак = sign
знакомство = acquaintance
знание = knowledge
значение = signification
значимость = magnitude
зодиак = zodiac
зола = ember
золушка = cinderella
зона = zone
зонтик = umbrella
зоология = zoology
зоопарк = zoo
зрение = sight
зуб = tooth
зубец = cog, jag

игла = needle
игра = game
игрушка = plaything
идеалист = idealist
идея = idea
иерархия = hierarchy
иероглиф = hieroglyph
извещение = notification
извинение = apology, excuse
извлечение = extraction
изготовление = production
излучение = radiation
изменение = alteration, change
измерение = measurement
изобретение = invention
изоляция = isolation
изречение = sentence
изучение = study
иллюзия = illusion
иллюстрация = illustration
импульс = impulse
имя = name
инвентарь = inventory
инвестиция = investment
индивидуализм = individualism
индивидуум = individual
индикатор = indicator
индукция = induction
инерция = inertia
инженер = engineer
инжир = fig
инициатор = initiator
инкогнито = incognito
инкубатор = incubator
иносказание = allegory
инсинуация = insinuation
инспектор = inspector
инструкция = instruction
инструмент = instrument, tool
интеллект = intellect
интендант = quartermaster
интервью = interview
интерес = interest
интуиция = intuition
информация = information
ион = ion
ипподром = hippodrome
искусство = art
исправление = rectification
испытание = trial
исследование = exploration
исследователь = investigator
история = history, story
исчезновение = disappearance
итог = total
ищейка = bloodhound

кабриолет = gig
каламбур = quirk, pun
калейдоскоп = kaleidoscope
календарь = calendar
камень = stone
кампания = campaign
камуфляж = camouflage
канун = eve
капля = drop
карандаш = pencil
карикатура = caricature
карман = pocket
карнавал = carnival
карта = map
картина = picture
карточка = card
категория = category
качество = quality
квадрат = square
квалификация = qualification
кварц = quartz
квота = quota
кенгуру = kangaroo
кепка = cap
кетчуп = ketchup
кивок = nod
кий = cue
кинотеатр = cinema
кислород = oxygen
кит = whale
клавиатура = keyboard
кладовщик = storekeeper
класс = class, classroom
клочок = scrap
клуб = club
ключ = key
книга = book
коврик = mat
кожа = skin
коктейль = cocktail
колебание = oscillation
колесо = wheel
количество = quantity
коллекция = collection
колокол = bell
колонизация = colonization
колчан = quiver
кольцо = ring
команда = command, team
комментарий = comment
коммерция = commerce
комната = room
компания = company
композитор = composer
компромисс = compromise
компьютер = computer
комфорт = comfort
конверт = envelope
кондитер = confectioner
кондитерская = confectionery
конец = end
консерватория = conservatory
консолидация = consolidation
конституция = constitution
консультант = consultant
консультация = consultation
контакт = contact
контейнер = container
контора = office
контраст = contrast
контратака = counterattack
контроль = control
конфедерация = confederation
конфигурация = configuration
конфликт = conflict
конфорка = hob
конфронтация = confrontation
концентрация = concentration
кончик = tip
копия = copy
корабль = vessel
коробка = box
корова = cow
королева = queen
королевство = kingdom
корреспондент = correspondent
косточка = pip
кость = bone
костюм = suit
косуля = roe
кот = cat
котировка = quotation
котёл = cauldron
котёнок = kitten
кофе = coffee
кошмар = nightmare
край = edge
кран = tap
крепость = fortress
крест = cross
крик = scream, shout
криптография = cryptography
критика = criticism
кровать = bed
круг = circle, lap
кружка = mug
крыло = wing
крыса = rat
крыша = roof
ксилофон = xylophone
кувшин = jar
кузнец = blacksmith
куколка = dolly
кулинария = gastronomy
культура = culture
культуризм = bodybuilding
курица = hen
курс = course
кусок = piece
кусочек = bit
куст = bush
кухня = kitchen
куча = pile

лабиринт = labyrinth
лаборатория = laboratory
лагуна = lagoon
ландшафт = landscape
лапа = paw
легенда = legend
лента = tape
лето = summer
лечение = treatment
лига = league
лидер = leader
ликование = exultation
лимонад = lemonade
линия = line
лиса = fox
литература = literature
лифт = elevator, lift
лицо = face
личность = person, personality
лоб = forehead
ловушка = trap
логово = den
лодка = boat
ложь = lie
локоть = elbow
ломтик = slice
лось = elk
луг = meadow, lea
лук = bow
луна = moon
луч = ray
любимец = pet
любитель = amateur
любовь = love
люди = people
люстра = chandelier
лёд = ice
лётчик = aviator

магазин = shop
магнит = magnet
май = may
малина = raspberry
мальчик = boy
манекен = dummy
манера = manner
манифестация = manifestation
манёвр = manoeuvre
маргаритка = daisy
марш = march
масло = oil, butter
масса = mass
математика = mathematics
материал = material
мать = mother
махинация = machination
машина = machine
маяк = lighthouse
мебель = furniture
медальон = locket
медведь = bear
медсестра = nurse
мелодия = melody, tune
мельник = miller
мемуары = memoir
мера = measure
место = place
месть = vengeance
месяц = month
метафизика = metaphysics
метеор = meteor
метеорология = meteorology
метка = mark
метод = method
методология = methodology
метрополитен = underground
мех = fur
механика = mechanics
мечта = dream
мешанина = patchwork
миг = moment
микробиология = microbiology
микрофон = microphone
миллионер = millionaire
минута = minute
мир = peace, world
мираж = mirage
мишень = target
младенец = baby
мнение = opinion
множество = multitude
мода = fashion, vogue
модель = model
можжевельник = juniper
мозг = brain
молния = lightning
молодёжь = youth
монастырь = monastery
монашка = nun
мопс = pug
море = sea
мост = bridge
мотив = motive
мрамор = marble
муж = husband
мужчина = man
музыка = music
муравей = ant
мускул = muscle
мусор = rubbish
муха = fly
мысль = thought
мытьё = wash
мычание = moo
мышеловка = mousetrap
мышление = mentality
мяуканье = mew

наблюдение = observation, surveillance
набор = set
навык = skill
наглость = insolence
надежда = hope
надзор = supervision
надувание = inflation
надёжность = reliability
назначение = assignment
назойливость = importunity
наказание = punishment
наклейка = sticker
накопление = accumulation
налог = tax
намерение = intention, purpose
нападение = onslaught
напиток = drink
направление = direction
народ = nation
нарушение = infringement, contravention
наследие = heritage
наследник = inheritor
наследница = heiress
наследство = inheritance, legacy
настойчивость = perseverance
настроение = mood
натиск = onrush
наука = science
начало = beginning
небо = sky
невежда = ignoramus
невежество = ignorance
невинность = innocence
неделя = week
недоверие = incredulity
недоумение = bewilderment
независимость = independence
неизменность = immutability
нейтралитет = neutrality
неосязаемость = impalpability
неприятность = trouble
нерв = nerve
несхожесть = dissimilarity
нетерпение = impatience
неуверенность = incertitude
неудобство = inconvenience
нефть = petroleum
новичок = novice
новость = news
нога = leg, foot
ноль = zero
нос = nose
ночь = night
нрав = temper
нутро = gut

обвинение = blame
обед = dinner, lunch
обет = vow
обещание = promise
область = area, region
облегчение = relief, facilitation
обмен = exchange
ободрение = encouragement
обои = wallpaper
оборудование = equipment
образ = image
образование = education
обращение = appeal
обсерватория = observatory
общительность = joviality
объединение = incorporation
объяснение = explanation
объятие = hug
обычай = custom
обязанность = duty
обязательство = obligation, commitment
овощ = vegetable
овёс = oat
огонь = fire
ограничение = restriction
одежда = apparel, clothes
одержимость = obsession
одеяло = quilt
одобрение = approval
океан = ocean
окно = window
окружность = circumference
опасность = danger, jeopardy
операция = operation
описание = description
оползень = landslide
оппонент = opponent
оправа = rim
оправдание = justification
определение = definition, determination
оптимизация = optimization
опыт = experience
организация = organization
орех = nut
оркестр = orchestra
оружие = weapon
орфография = orthography
орёл = eagle
оса = wasp
освещение = illumination
освобождение = liberation
осень = autumn
оснастка = rig
основа = basis
особенность = feature, particularity
остановка = stop
остаток = remainder
острие = nib
остров = isle
осуществление = realization
ось = axis
ответ = answer, reply
отдел = department
отдых = rest
отец = father
отклонение = rejection
открытие = discovery
отмена = cancellation
отношение = attitude, relation
отпрыск = offspring
отпуск = vacation
отрасль = industry
отставание = lag
отсутствие = absence
оттенок = hue, shade
отчизна = fatherland
отчёт = report
охрана = guard, safeguard
очерк = essay
ошибка = error, mistake
ощущение = feeling

падчерица = stepdaughter
палеонтология = paleontology
палец = finger
палка = stick
пальто = coat
память = memory
паникёр = scaremonger
папа = dad
пар = steam, vapor
пара = pair, couple
параграф = paragraph
парашют = parachute
парень = guy
пари = bet
парикмахер = hairdresser
партия = party
партнёр = partner
партнёрство = partnership
пассажир = passenger
пауза = pause
паутина = web
пацан = kid
перевод = translation
переводчик = interpreter
перевозка = transport
переговоры = negotiation
передача = transmission
передвижение = movement
перерыв = break, interruption
переучёт = stocktaking
период = period
перо = quill
персонал = personnel
перспектива = perspective
перфорация = perforation
песня = song
печать = print
пинок = kick
пирог = pie
писатель = writer
питание = nutrition
плавник = fin
план = plan
пластмасса = plastic
плата = charge
платформа = platform
платье = dress
платёж = payment
плач = cry
плед = rug
племянник = nephew
плечо = shoulder
плющ = ivy
побег = escape
победа = victory
поведение = behavior
поверхность = surface
повествование = narration
повесть = narrative
повидло = marmalade
поворот = turn
повреждение = damage
погода = weather
погружение = dip
